;loss;acc
0;0,061787575483322144;0,9876329898834229
1;0,09181790798902512;0,9751359820365906
2;0,051708243787288666;0,9902679920196533
3;0,0747118890285492;0,9822059869766235
4;0,04695886746048927;0,9914259910583496
5;0,053627368062734604;0,9893749952316284
6;0,08239680528640747;0,9787089824676514
7;0,07734600454568863;0,9842380285263062
8;0,09455505013465881;0,9763839840888977
9;0,0600518174469471;0,9874449968338013
10;0,1277557760477066;0,9656299948692322
11;0,10370496660470963;0,9709519743919373
12;0,0829603374004364;0,9827330112457275
13;0,11110547930002213;0,9685570001602173
14;0,10658968240022659;0,9718940258026123
15;0,07608640938997269;0,9816709756851196
16;0,10986962914466858;0,9713969826698303
17;0,20191273093223572;0,9505249857902527
18;0,24605995416641235;0,9392529726028442
19;0,05432775616645813;0,990460991859436
20;0,07870447635650635;0,9830120205879211
21;0,086895652115345;0,9788870215415955
22;0,11730696260929108;0,9673200249671936
23;0,11200030148029327;0,9678289890289307
24;0,07392039895057678;0,9831119775772095
25;0,05814032629132271;0,988152027130127
26;0,04418530687689781;0,9913610219955444
27;0,06675980985164642;0,9844759702682495
28;0,053074534982442856;0,9889919757843018
29;0,09846223890781403;0,9721620082855225
